source,target,distance_km,cost_usd,time_hours,road_type
DC_Riforces,Hub_Kadikoy,18,12,0.60,highway
DC_Riforces,Hub_Besiktas,12,8,0.40,highway
DC_Riforces,Hub_Sisli,8,5,0.30,urban
DC_Riforces,Hub_Bakirkoy,22,15,0.75,highway
Hub_Kadikoy,Zone_Atasehir,10,7,0.35,urban
Hub_Kadikoy,Zone_Maltepe,15,10,0.50,urban
Hub_Kadikoy,Zone_Pendik,28,18,0.90,highway
Hub_Besiktas,Zone_Sariyer,20,14,0.65,highway
Hub_Besiktas,Zone_Levent,5,4,0.20,urban
Hub_Besiktas,Zone_Sariyer,14,18,0.38,express
Hub_Sisli,Zone_Levent,4,3,0.15,urban
Hub_Sisli,Hub_Besiktas,7,5,0.25,urban
Hub_Sisli,Zone_Sariyer,25,12,0.55,highway
Hub_Bakirkoy,Zone_Avcilar,14,9,0.45,urban
Hub_Bakirkoy,Zone_Buyukcekmece,30,20,1.00,highway
Hub_Bakirkoy,Zone_Avcilar,10,14,0.28,express
Hub_Kadikoy,Hub_Sisli,25,17,0.80,bridge
Hub_Kadikoy,Zone_Pendik,20,22,0.55,express
Zone_Atasehir,Zone_Maltepe,8,5,0.28,urban
Hub_Besiktas,Zone_Atasehir,28,16,0.70,bridge
DC_Riforces,Zone_Levent,15,11,0.50,urban
Hub_Sisli,Zone_Atasehir,32,14,0.60,highway
